"RSN","WARD","WARDNAME","YEAR.BUILT","PROPERTY.TYPE","CONFIRMED.STOREYS","CONFIRMED.UNITS","CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE.CODE"
4153143,"10","Spadina-Fort York",1930,"PRIVATE",3,16,71,1
5358047,"14","Toronto-Danforth",1965,"PRIVATE",3,12,80,1
5357946,"14","Toronto-Danforth",1965,"PRIVATE",3,12,80,1
5357890,"14","Toronto-Danforth",1965,"PRIVATE",3,12,85,1
5361379,"14","Toronto-Danforth",1952,"PRIVATE",3,12,74,1
4154109,"14","Toronto-Danforth",1992,"SOCIAL HOUSING",6,41,83,2
4604174,"14","Toronto-Danforth",1952,"PRIVATE",3,12,76,1
4167455,"10","Spadina-Fort York",2000,"TCHC",7,25,90,3
4153386,"13","Toronto Centre",1982,"TCHC",3,61,96,3
5368000,"14","Toronto-Danforth",1950,"PRIVATE",3,12,86,1
4154133,"14","Toronto-Danforth",1958,"PRIVATE",3,27,91,1
4154136,"14","Toronto-Danforth",1964,"PRIVATE",12,213,91,1
4154120,"14","Toronto-Danforth",1960,"PRIVATE",6,75,92,1
4154121,"14","Toronto-Danforth",1970,"PRIVATE",4,28,89,1
4154122,"14","Toronto-Danforth",1974,"PRIVATE",6,49,92,1
4154123,"14","Toronto-Danforth",1960,"PRIVATE",6,49,79,1
4154124,"14","Toronto-Danforth",1955,"PRIVATE",6,48,86,1
4154125,"14","Toronto-Danforth",1958,"PRIVATE",4,33,99,1
4154135,"14","Toronto-Danforth",1964,"PRIVATE",12,212,87,1
4154126,"14","Toronto-Danforth",1961,"PRIVATE",6,81,100,1
4154127,"14","Toronto-Danforth",1961,"PRIVATE",6,94,100,1
4154134,"14","Toronto-Danforth",1965,"PRIVATE",12,152,86,1
4273164,"14","Toronto-Danforth",1960,"PRIVATE",4,27,83,1
4250630,"14","Toronto-Danforth",1950,"PRIVATE",3,24,99,1
